activities,decision_nodes,strategy,spl,time,memory
11,21,Feature-family-based,BSN,170,137.85546875
11,21,Feature-product-based,BSN,1261,320.6875
11,21,Product-based,BSN,6475,607.01171875
11,21,Family-based,BSN,26710,403.4765625
11,21,Family-product-based,BSN,24022,520.6640625
12,22,Feature-family-based,Lift,114,132.15234375
12,22,Feature-product-based,Lift,1419,370.7578125
12,22,Product-based,Lift,14714,622.76953125
12,22,Family-based,Lift,683,137.0703125
12,22,Family-product-based,Lift,1745,365.8046875
12,21,Feature-family-based,Email2,116,167.59765625
12,21,Feature-product-based,Email2,351,173.1328125
12,21,Product-based,Email2,1234,206.05078125
12,21,Family-based,Email2,584,139.49609375
12,21,Family-product-based,Email2,621,199.578125
11,22,Feature-family-based,Email,106,161.21875
11,22,Feature-product-based,Email,368,173.58203125
11,22,Product-based,Email,2174,206.75390625
11,22,Family-based,Email,618,141.94921875
11,22,Family-product-based,Email,525,171.7109375
